street,variant,is_canonical,town_name,street_latitude,street_longitude,street_type
triq il-wied,triq il-wied,FALSE,iklin,,,
triq il-wied ta birkirkara,triq il-wied ta' birkirkara,FALSE,birkirkara,,,
triq il-wied ta birkirkara,triq il-wied ta birkirkara,TRUE,birkirkara,35.8964103,14.4631382,primary
triq imrejkba,imrejkba street,FALSE,valletta,,,
triq in-naxxar,triq in-naxxar,TRUE,birkirkara,35.8980141,14.4596416,primary
triq ir-rabat,triq ir rabat,FALSE,zebbug,,,
triq ir-rabat,triq-ir-rabat,FALSE,zebbug,,,
triq ir-rabat,triq ir-rabat,FALSE,zebbug,,,
triq ir-repubblika,triq ir-repubblika,TRUE,rabat,35.8828307,14.4007264,pedestrian
triq isouard,triq isouard,TRUE,marsa,35.8826068,14.4874392,residential
triq is-salina,triq is-salina,TRUE,naxxar,35.9369975,14.4339269,secondary
triq is-salina,salina street,FALSE,naxxar,,,
triq is-salina,triq is salina,FALSE,naxxar,,,
triq is-salina,salina road,FALSE,naxxar,,,
triq is-salina,triq is-salin,FALSE,naxxar,,,
triq is-salina,salini street,FALSE,naxxar,,,
triq is-sorijiet,triq is-sorijiet,TRUE,tarxien,35.8702636,14.5103851,residential
triq it-turisti,triq it turisti,TRUE,san pawl il bahar,,,
triq ix-xaghra,triq ix-xaghra,TRUE,xaghra,36.0404174,14.2577713,primary
triq ix-xatt,triq ix xatt,FALSE,gzira,,,
triq ix-xatt,triq ix-xatt,TRUE,gzira,,,
triq ix-xatt,triq ix xatt juan,FALSE,gzira,,,
triq ix-xatt,triq ix-xatt,TRUE,ta xbiex,35.9016199,14.4948208,secondary
triq ix-xatt juan b azopardo,triq ix xatt juan b azopardo,TRUE,senglea,,,
triq ix-xatt juan b azopardo,Triq ix-Xatt Juan B Azopardo,FALSE,senglea,,,
triq ix-xatt ta' xbiex,triq ix-xatt ta' xbiex,FALSE,ta xbiex,35.9016199,14.4948208,secondary
triq iz-zejfa,triq iz zejfa,FALSE,mosta,,,
triq iz-zejfa,triq iz-zejfa,FALSE,mosta,,,
triq kordin,triq kordin,TRUE,paola,35.876336,14.5045036,residential
Triq L. Zamenhof,triq l. zamenhof corner with triq xmiexi,FALSE,msida,,,
Triq L. Zamenhof,Triq L. Zamenhof,TRUE,msida,35.8978569,14.484983,residential
triq l-ewwel titjira,triq l-ewwel titjira,TRUE,luqa,,,
triq l-ewwel titjira,triq l ewwel titjira,FALSE,luqa,,,
triq l-gharb,triq l-gharb,TRUE,gharb,36.0527615,14.2205279,primary
triq l-imdina,triq l-imdina,TRUE,zebbug,35.874767,14.4608589,trunk
triq l-imgarr,triq l imgarr,FALSE,ghajnsielem,,,
triq l-imgarr,triq l-imgarr,TRUE,ghajnsielem,,,
triq l-imqabba,triq l-imqabba,TRUE,mqabba,35.8483999,14.4815704,primary
triq manwel dimech,triq manwel dimech,TRUE,sliema,35.9110017,14.4967956,tertiary
triq marsalforn,triq marsalforn,TRUE,marsa,36.0613833,14.2551875,primary
triq marsaxlokk,triq marsaxlokk,TRUE,marsaxlokk,35.8469004,14.5314513,secondary
triq melqart,triq melqart,TRUE,marsaxlokk,35.8431644,14.5429351,secondary
triq mikiel anton vassalli,triq mikiel anton vassalli,TRUE,msida,35.8981962,14.4867393,trunk
triq mikiel anton vassalli,mikiel anton vassalli street,FALSE,msida,,,
triq mons mikiel azzopardi,triq mons mikiel azzopardi,TRUE,siggiewi,,,
triq mons mikiel azzopardi,triq mons mikel azzopardi,FALSE,siggiewi,,,
triq parades,triq paredes,TRUE,bugibba,35.948315,14.4021162,tertiary
triq parades,triq parades,TRUE,bugibba,35.948315,14.4021162,tertiary
triq president anton buttigieg,triq president anton buttigieg,TRUE,zejtun,35.8503003,14.532077,bus_stop
triq rodolfu,triq rodolfu,TRUE,sliema,35.9104721,14.4987943,tertiary
triq salvu psaila,triq salvu psaila,TRUE,santa venera,35.8946852,14.4696987,secondary
triq salvu psaila,psaila street,FALSE,santa venera,,,
triq san anard,triq san anard,TRUE,tarxien,35.8626801,14.5167088,residential
triq san gorg,triq san gorg,TRUE,valletta,,,
triq san gwann,triq san gwann,TRUE,sliema,35.9107529,14.5000793,residential
triq san gwann bosco,triq san gwann bosco,TRUE,san gwann,,,
triq san gwann t ghux,triq san gwann t ghuxa,FALSE,san gwann,,,
triq san gwann t'ghuxa,triq san gwann t'ghuxa,TRUE,cospicua,35.8777552,14.5191598,secondary
triq san luqa,triq san luqa,TRUE,luqa,35.8563358,14.4861241,bus_stop
triq san pawl,triq san pawl,TRUE,san pawl il bahar,35.9467503,14.3916683,tertiary
triq san pawl,st paul street,FALSE,san pawl il bahar,,,
triq sant andrija,triq sant andrija,TRUE,pembroke,35.9234324,14.4824207,trunk
triq sant andrija,triq sant andrija,TRUE,st julian,,,
triq sant andrija,Triq Sant’ Andrija,FALSE,st julian,,,
triq sant anna,triq sant anna,TRUE,floriana,35.8928626,14.5072523,trunk
triq sant antnin,triq sant antnin,TRUE,marsascala,35.862551,14.5587173,secondary
triq sant antnin,triq santantnin,FALSE,marsascala,,,
triq santa elizabetta,triq santa elizabetta,TRUE,xewkija,36.0355961,14.2592552,residential
triq santa elizabetta,triq sant' elizabetta,FALSE,xewkija,,,
triq santa elizabetta,triq sant elizabetta,FALSE,xewkija,,,
triq santu wistin,triq santu wistin,TRUE,st julian,35.9241978,14.488164,residential
triq sir anthony mamo,triq sir anthony mamo,TRUE,birkirkara,35.9000642,14.4750873,secondary
triq sir anthony mamo,sir anthony mamo street,FALSE,birkirkara,,,
triq sir philip pullicino,triq sir philip pullicino,TRUE,mtarfa,35.8903766,14.3931157,residential
triq sir temi zammit,triq sir temi zammit,TRUE,mgarr,35.9240642,14.3752357,secondary
triq spinola,triq spinola,TRUE,valletta,,,
triq ta lawrenti,triq ta' lawrenti,FALSE,siggiewi,35.8585943,14.4141123,unclassified
triq ta lawrenti,triq ta lawrenti,TRUE,siggiewi,,,
triq tal-balal,tal-balal road,FALSE,san gwann,,,
triq tal-balal,triq tal balal,TRUE,san gwann,,,
triq tal-barrani,tal-barrani road,FALSE,zejtun,,,
triq tal-barrani,triq tal barrani,FALSE,zejtun,,,
triq tal-barrani,triq tal-barrani,TRUE,zejtun,,,
triq tas-sliema,triq tas-sliema,TRUE,gzira,35.9052523,14.4905482,secondary
triq taz-zellieqa,triq taz zellieqa,FALSE,valletta,,,
triq villabate,triq villabate,TRUE,marsascala,35.8625547,14.5506421,primary
triq wied bladun,triq wied bladun,TRUE,paola,,,
triq zaghfran,triq zaghfran,TRUE,attard,35.8892272,14.4396691,trunk
triq zaghfran,triq zafran,FALSE,attard,,,
valley road,valley road,TRUE,valletta,,,
valley road,birkirkara valley road,FALSE,valletta,,,
vjal il-helsien,vjal il-helsien,TRUE,zebbug,35.8736616,14.4449743,tertiary
vjal il-helsien,vjal il-helsien,FALSE,zebbug,,,
vjal l-istadium nazzjonali,vjal l-istadium nazzjonali,TRUE,attard,35.8905211,14.4223,secondary
wignacourt aqueduct,wignacourt aqueduct,TRUE,birkirkara,,,
xatt l-ghassara tal-gheneb,xatt l-ghassara tal-gheneb,TRUE,marsa,35.8863417,14.5019071,tertiary
xemxija bypass,st. paul's bay bypass,FALSE,san pawl il bahar,,,
xemxija bypass,xemxija bypass,TRUE,san pawl il bahar,,,
xemxija bypass,xemxija bypass,FALSE,san pawl il bahar,,,
xemxija bypass,st pauls bay bypass,FALSE,san pawl il bahar,,,
xemxija bypass,st paul's bay bypass,FALSE,san pawl il bahar,,,
zabbar road,zabbar road,TRUE,fgura,35.8724128,14.5203406,primary
zabbar road,zabbar road,FALSE,fgura,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
