id,street,city,accident_datetime_x,street_latitude,street_longitude,latitude,longitude,accident_datetime_y,future_dt_used,duration_sec,static_duration_sec,traffic_ratio,traffic_level
article_491707.0,attard road,zebbug,2025-08-26 18:30:00,35.8828703,14.4401592,35.8828703,14.4401592,2025-08-26 18:30:00,2026-01-06 18:30:00+01:00,419.0,363.0,1.1542699724517906,LOW
article_491557.0,tower road,sliema,2025-08-26 05:10:00,35.9148787,14.497752,35.9148787,14.497752,2025-08-26 05:10:00,2026-01-06 05:10:00+01:00,70.0,92.0,0.7608695652173914,LOW
release_95,triq sir anthony mamo,birkirkara,2025-08-22 05:30:00,35.9000642,14.4750873,35.9000642,14.4750873,2025-08-22 05:30:00,2026-01-09 05:30:00+01:00,214.0,241.0,0.8879668049792531,LOW
article_491118.0,tower road,sliema,2025-08-21 06:00:00,35.9148787,14.497752,35.9148787,14.497752,2025-08-21 06:00:00,2026-01-08 06:00:00+01:00,84.0,92.0,0.9130434782608695,LOW
article_491011.0,tower road,sliema,2025-08-21 05:30:00,35.9148787,14.497752,35.9148787,14.497752,2025-08-21 05:30:00,2026-01-08 05:30:00+01:00,74.0,92.0,0.8043478260869565,LOW
release_38,luqa road,paola,2025-08-19 16:00:00,35.8628353,14.498719,35.8628353,14.498719,2025-08-19 16:00:00,2026-01-06 16:00:00+01:00,154.0,112.0,1.375,MODERATE
article_490815.0,triq hal luqa,rahal il-gdid,2025-08-18 16:00:00,35.8628353,14.498719,35.8628353,14.498719,2025-08-18 16:00:00,2026-01-05 16:00:00+01:00,149.0,112.0,1.3303571428571428,MODERATE
article_490815.0,triq hal luqa,rahal il-gdid,2025-08-18 16:00:00,35.8628353,14.498719,35.8628353,14.498719,2025-08-18 16:00:00,2026-01-05 16:00:00+01:00,149.0,112.0,1.3303571428571428,MODERATE
article_490815.0,triq hal luqa,rahal il-gdid,2025-08-18 16:00:00,35.8628353,14.498719,35.8628353,14.498719,2025-08-18 16:00:00,2026-01-05 16:00:00+01:00,149.0,112.0,1.3303571428571428,MODERATE
article_490815.0,triq hal luqa,rahal il-gdid,2025-08-18 16:00:00,35.8628353,14.498719,35.8628353,14.498719,2025-08-18 16:00:00,2026-01-05 16:00:00+01:00,149.0,112.0,1.3303571428571428,MODERATE
article_490697.0,triq ix-xatt juan b. azopardo,senglea,2025-08-18 00:00:00,35.88794,14.51784,35.88794,14.51784,2025-08-18 00:00:00,2026-01-05 00:00:00+01:00,329.0,377.0,0.8726790450928382,LOW
