id,street,city,accident_datetime,street_latitude,street_longitude
release_24,triq ghar dalam,birzebbuga,2025-05-07 13:15:00,35.8417603,14.5279126
release_23,triq l. zamenhof corner with triq xmiexi,msida,2025-05-07 10:00:00,35.8978569,14.484983
release_26,december 13 road,marsa,2025-05-04 14:30:00,35.8786271,14.4913829
article_1489.0,triq ix-xaghra,xaghra,2025-05-02 17:00:00,36.0404174,14.2577713
release_71,triq l-imgarr,mgarr,2025-05-02 15:30:00,36.02573,14.29241
release_90,triq kordin,paola,2025-04-25 22:00:00,35.876336,14.5045036
release_12,cospicua seafront,cospicua,2025-04-22 13:00:00,35.8849,14.5217
article_1718.0,burmarrad street,st paul's bay,2025-04-18 13:30:00,35.9246697,14.4160186
release_61,triq iz-zejfa,mosta,2025-04-18 02:00:00,35.91211,14.41467
article_1769.0,triq hal luqa,luqa,2025-04-17 13:00:00,35.8628353,14.498719
article_1769.0,triq hal luqa,luqa,2025-04-17 13:00:00,35.8628353,14.498719
release_33,tal-barrani road,zejtun,2025-04-17 09:30:00,35.85431,14.52877
release_16,luqa road,luqa,2025-04-17 00:00:00,35.8628353,14.498719
release_6,triq aldo moro,marsa,2025-04-15 08:50:00,35.8772393,14.4948062
release_76,birzebbuga road,birzebbuga,2025-04-13 17:45:00,35.8417603,14.5279126
article_1856.0,coast road,naxxar,2025-04-13 15:15:00,35.9462438,14.4481762
release_103,triq marsaxlokk,marsaxlokk,2025-04-13 08:00:00,35.8469004,14.5314513
release_5,triq il-buqana,rabat,2025-04-06 20:45:00,35.87684,14.39321
release_96,triq zaghfran,attard,2025-04-06 08:30:00,35.8892272,14.4396691
article_2080.0,st paul street,naxxar,2025-04-01 09:00:00,35.9467503,14.3916683
release_64,tal-balal road,san gwann,2025-03-28 10:45:00,35.90892,14.47411
article_2201.0,triq mons mikel azzopardi,siggiewi,2025-03-26 00:00:00,35.83296,14.44018
article_2259.0,triq ir-rabat,nadur,2025-03-22 13:30:00,36.0672705,14.259524
article_2301.0,triq l-imgarr,ghajnsielem,2025-03-22 05:45:00,36.02573,14.29241
release_11,coast road,naxxar,2025-03-16 08:00:00,35.9462438,14.4481762
article_2419.0,vjal il-helsien,zebbug,2025-03-16 08:00:00,35.8736616,14.4449743
article_2419.0,vjal il-helsien,zebbug,2025-03-16 08:00:00,35.8736616,14.4449743
article_2461.0,triq ghajn dwieli,paola,2025-03-14 22:30:00,35.8772491,14.5138522
article_2452.0,triq buqana,rabat,2025-03-14 10:00:00,35.8919893,14.4089334
article_2492.0,triq ir-rabat,zebbug,2025-03-13 14:45:00,36.0672705,14.259524
article_2557.0,triq san pawl,st paul's bay,2025-03-08 19:30:00,35.9467503,14.3916683
article_2666.0,triq aldo moro,marsa,2025-03-03 07:00:00,35.8772393,14.4948062
article_2658.0,triq l-imgarr,xewkija,2025-03-03 07:00:00,36.02573,14.29241
article_2745.0,triq il-kappillan mifsud,hamrun,2025-02-24 23:45:00,35.88641,14.48827
article_2792.5,triq marfa,mellieha,2025-02-24 14:15:00,35.9670439,14.3518793
release_19,triq nazzjonali,floriana,2025-02-21 13:30:00,35.9034355,14.4867323
release_17,triq il-bacir,paola,2025-02-21 07:30:00,35.87541,14.51328
release_42,triq hompesch,fgura,2025-02-19 18:00:00,35.8723089,14.5218635
release_42,triq hompesch,fgura,2025-02-19 18:00:00,35.8723089,14.5218635
article_2940.0,hal far road,birzebbuga,2025-02-17 13:00:00,35.84792,14.5129
release_48,giorgio borg olivier street,victoria,2025-02-17 12:45:00,36.04447,14.23953
article_2974.0,triq il-kilpa,siggiewi,2025-02-16 11:00:00,35.83247,14.43691
release_41,valley road,iklin,2025-02-15 00:00:00,35.89784,14.49012
article_3001.0,triq il-wied,iklin,2025-02-14 23:45:00,35.90473,14.45781
article_3090.0,kirkop tunnels,kirkop,2025-02-10 21:00:00,35.8628353,14.498719
release_43,triq santantnin,marsascala,2025-02-09 09:45:00,35.862551,14.5587173
